id,address,incident_date,city,zipcode,battalion,station_area,action_taken_primary,property_use,ignition_cause,neighborhood_district,point
30077250,Hayes St. / Market St.,2003-01-27 0:00:00,SF,94102,B02,1,11 - Extinguish,961 - Highway or divided highway (Street),,Tenderloin,POINT (-122.414744 37.778719)
30077350,10th St. / Howard St.,2003-01-27 0:00:00,SF,94103,B02,36,86 - Investigate,"962 - Residential street, road or residential dr",,South of Market,POINT (-122.414371 37.774042)
30077370,Grove St. / Van Ness Av.,2003-01-27 0:00:00,SF,94115,B02,36,86 - Investigate,"962 - Residential street, road or residential dr",,Hayes Valley,POINT (-122.419885 37.778251)
30077380,2764 Bryant St.,2003-01-27 0:00:00,SF,94124,B06,9,86 - Investigate,"962 - Residential street, road or residential dr",,Mission,POINT (-122.40919571 37.75014504)
30077400,909 Hyde St.,2003-01-27 0:00:00,SF,94109,B04,3,86 - Investigate,"300 - Health care/Detentino & correction, oth.",,Nob Hill,POINT (-122.417138 37.789261)
30077410,225 Hyde St.,2003-01-27 0:00:00,SF,94104,B02,3,86 - Investigate,"449 - Hotel/motel, commercial",,Tenderloin,POINT (-122.415834 37.782837)
30077420,6th St. / Market St.,2003-01-27 0:00:00,SF,94105,B03,1,86 - Investigate,"962 - Residential street, road or residential dr",,South of Market,POINT (-122.410293 37.78223)
30077470,Market St. / Mason St.,2003-01-27 0:00:00,SF,94105,B03,1,86 - Investigate,"962 - Residential street, road or residential dr",,Tenderloin,POINT (-122.408953 37.783288)
30077510,Laguna St. / Oak St.,2003-01-27 0:00:00,SF,94115,B02,36,86 - Investigate,"962 - Residential street, road or residential dr",,Hayes Valley,POINT (-122.425892 37.774599)
30081770,707 Taraval St.,2003-01-29 0:00:00,SF,94122,B08,40,45 - Remove hazard,"580 - General retail, other",,West of Twin Peaks,POINT (-122.47381242 37.74288468)
30081780,601 Minnesota St.,2003-01-29 0:00:00,SF,94107,B03,29,11 - Extinguish,"960 - Street, other",U - Cause undetermined after investigation,Potrero Hill,POINT (-122.390607 37.762862)
30081830,2500 Mariposa St.,2003-01-29 0:00:00,SF,94105,B02,29,86 - Investigate,173 - Bus station,,Mission,POINT (-122.408394 37.763188)
30081850,170 Ofarrell St.,2003-01-29 0:00:00,SF,94109,B01,1,86 - Investigate,"449 - Hotel/motel, commercial",,Financial District/South Beach,POINT (-122.407549 37.786541)
30081880,405 Davis Ct.,2003-01-29 0:00:00,SF,94104,B01,13,86 - Investigate,429 - Multifamily dwellings,,Financial District/South Beach,POINT (-122.39840845 37.79639772)
30081890,145 Jackson St.,2003-01-29 0:00:00,SF,94108,B01,13,86 - Investigate,599 - Business office,,Financial District/South Beach,POINT (-122.398826 37.796563)
30083850,2114 34th Av.,2003-01-29 0:00:00,SF,94122,B08,18,"30 - Emergency medical services, other",419 - 1 or 2 family dwelling,,Sunset/Parkside,POINT (-122.4931528 37.74783271)
30083890,16th St. / Folsom St.,2003-01-29 0:00:00,SF,94110,B02,7,86 - Investigate,"962 - Residential street, road or residential dr",,Mission,POINT (-122.415308 37.765316)
30083960,2262 39th Av.,2003-01-29 0:00:00,SF,94122,B08,18,75 - Provide equipment,419 - 1 or 2 family dwelling,,Sunset/Parkside,POINT (-122.4971746 37.74391893)
30081910,155 Jackson St.,2003-01-29 0:00:00,SF,94111,B01,13,86 - Investigate,429 - Multifamily dwellings,,Financial District/South Beach,POINT (-122.398961 37.796933)
